"1","8","1","5.0","The author knows how to keep readers hooked. Love it!","2024-11-08 22:54:06"
"2","3","1","3.0","Started strong but felt a bit repetitive in the middle.","2025-02-12 22:54:06"
"3","4","1","4.0","One of the best I have read in a long time. Highly recommend!","2026-02-11 22:54:06"
"4","5","1","4.0","This exceeded all my expectations. Genuinely brilliant.","2025-10-22 22:54:06"
"5","12","1","4.5","Absolutely loved this one! The art style is stunning.","2025-02-21 22:54:06"
"6","6","1","3.0","Solid series overall. Nothing groundbreaking but entertaining.","2024-07-25 22:54:06"
"7","10","1","4.5","One of the best I have read in a long time. Highly recommend!","2024-07-06 22:54:06"
"8","1","2","4.5","The world-building here is on another level. Truly impressive.","2024-06-28 22:54:06"
"9","11","2","3.5","Enjoyable enough. I will keep reading to see where it goes.","2025-04-01 22:54:06"
"10","2","2","3.5","Decent series. The side characters could use more development.","2025-10-10 22:54:06"
"11","9","2","3.0","Started strong but felt a bit repetitive in the middle.","2026-03-06 22:54:06"
"12","4","2","4.5","Amazing story with great pacing. Each chapter leaves you wanting more.","2025-12-24 22:54:06"
"13","7","2","4.0","This exceeded all my expectations. Genuinely brilliant.","2025-10-03 22:54:06"
"14","8","2","4.0","Cannot put this down. The plot twists are insane!","2025-06-29 22:54:06"
"15","4","3","4.0","The author knows how to keep readers hooked. Love it!","2025-11-07 22:54:06"
"16","2","3","3.0","Pretty decent read. Some chapters are slow but overall enjoyable.","2026-04-21 22:54:06"
"17","12","3","4.5","This exceeded all my expectations. Genuinely brilliant.","2024-12-22 22:54:06"
"18","8","3","2.5","Lost interest around the middle. Might not be for everyone.","2024-10-01 22:54:06"
"19","7","3","4.0","The world-building here is on another level. Truly impressive.","2025-02-13 22:54:06"
"20","6","3","5.0","Amazing story with great pacing. Each chapter leaves you wanting more.","2025-07-29 22:54:06"
"21","1","3","5.0","One of the best I have read in a long time. Highly recommend!","2026-03-12 22:54:06"
"22","4","4","5.0","Amazing story with great pacing. Each chapter leaves you wanting more.","2025-09-25 22:54:06"
"23","9","4","4.5","Cannot put this down. The plot twists are insane!","2024-07-05 22:54:06"
"24","8","4","4.0","The author knows how to keep readers hooked. Love it!","2025-06-20 22:54:06"
"25","6","4","4.5","The character development is incredible. Can not stop reading.","2025-12-23 22:54:06"
"26","1","4","5.0","Beautiful artwork and a compelling story. A must read.","2025-10-27 22:54:06"
"27","5","4","4.5","The world-building here is on another level. Truly impressive.","2025-12-17 22:54:06"
"28","11","4","5.0","Absolutely loved this one! The art style is stunning.","2025-12-11 22:54:06"
"29","8","5","5.0","Beautiful artwork and a compelling story. A must read.","2025-02-22 22:54:06"
"30","10","5","3.0","Pretty decent read. Some chapters are slow but overall enjoyable.","2024-08-27 22:54:06"
"31","3","5","4.5","Amazing story with great pacing. Each chapter leaves you wanting more.","2025-02-23 22:54:06"
"32","12","5","4.5","The world-building here is on another level. Truly impressive.","2024-11-23 22:54:06"
"33","4","5","5.0","The author knows how to keep readers hooked. Love it!","2025-04-17 22:54:06"
"34","6","5","5.0","The character development is incredible. Can not stop reading.","2025-03-14 22:54:06"
"35","5","5","3.0","Solid series overall. Nothing groundbreaking but entertaining.","2024-12-13 22:54:06"
"36","11","5","4.0","The character development is incredible. Can not stop reading.","2025-01-31 22:54:06"
"37","8","6","4.5","Absolutely loved this one! The art style is stunning.","2024-09-06 22:54:06"
"38","11","6","3.0","Interesting premise but execution could be better in some arcs.","2025-06-24 22:54:06"
"39","2","6","4.5","Cannot put this down. The plot twists are insane!","2024-05-28 22:54:06"
"40","4","6","5.0","Absolutely loved this one! The art style is stunning.","2025-02-09 22:54:06"
"41","12","6","5.0","The author knows how to keep readers hooked. Love it!","2025-11-26 22:54:06"
"42","3","7","2.5","Art is nice but the writing feels rushed in later chapters.","2025-01-29 22:54:06"
"43","4","7","5.0","Absolutely loved this one! The art style is stunning.","2024-06-06 22:54:06"
"44","5","7","5.0","Amazing story with great pacing. Each chapter leaves you wanting more.","2025-10-14 22:54:06"
"45","8","7","4.5","One of the best I have read in a long time. Highly recommend!","2025-07-18 22:54:06"
"46","6","7","4.5","Amazing story with great pacing. Each chapter leaves you wanting more.","2025-04-04 22:54:06"
"47","1","8","5.0","Absolutely loved this one! The art style is stunning.","2025-06-09 22:54:06"
"48","10","8","5.0","Every chapter is better than the last. Addictive read.","2024-05-06 22:54:06"
"49","12","8","2.5","The pacing feels off and some plot points are confusing.","2024-09-14 22:54:06"
"50","9","8","3.0","The art is great but the story takes a while to pick up.","2024-10-01 22:54:06"
"51","4","8","3.5","Interesting premise but execution could be better in some arcs.","2024-06-25 22:54:06"
"52","6","8","5.0","The world-building here is on another level. Truly impressive.","2025-02-14 22:54:06"
"53","3","8","2.0","Art is nice but the writing feels rushed in later chapters.","2026-02-16 22:54:06"
"54","1","9","4.5","Cannot put this down. The plot twists are insane!","2025-03-23 22:54:06"
"55","11","9","5.0","Amazing story with great pacing. Each chapter leaves you wanting more.","2024-11-15 22:54:06"
"56","10","9","2.5","Had higher expectations. The story did not deliver for me.","2024-06-26 22:54:06"
"57","4","9","5.0","Amazing story with great pacing. Each chapter leaves you wanting more.","2025-04-02 22:54:06"
"58","5","9","3.0","Pretty decent read. Some chapters are slow but overall enjoyable.","2025-07-03 22:54:06"
"59","6","9","4.5","Absolutely loved this one! The art style is stunning.","2026-03-13 22:54:06"
"60","12","9","4.5","Cannot put this down. The plot twists are insane!","2024-09-02 22:54:06"
"61","2","9","4.0","The world-building here is on another level. Truly impressive.","2024-12-29 22:54:06"
"62","4","10","4.5","Amazing story with great pacing. Each chapter leaves you wanting more.","2025-10-17 22:54:06"
"63","1","10","4.0","The character development is incredible. Can not stop reading.","2024-10-16 22:54:06"
"64","11","10","3.5","Not bad. Worth reading if you have the time.","2025-01-25 22:54:06"
"65","8","10","5.0","One of the best I have read in a long time. Highly recommend!","2024-09-16 22:54:06"
"66","2","10","5.0","Absolutely loved this one! The art style is stunning.","2026-04-19 22:54:06"
"67","12","10","5.0","Absolutely loved this one! The art style is stunning.","2024-10-26 22:54:06"
"68","7","10","3.0","Pretty decent read. Some chapters are slow but overall enjoyable.","2024-09-28 22:54:06"
"69","8","11","5.0","Every chapter is better than the last. Addictive read.","2025-07-11 22:54:06"
"70","10","11","2.0","Not really my type but I can see why others enjoy it.","2025-06-30 22:54:06"
"71","9","11","4.5","Beautiful artwork and a compelling story. A must read.","2025-01-18 22:54:06"
"72","2","11","4.0","Beautiful artwork and a compelling story. A must read.","2025-05-14 22:54:06"
